file_path,file_name,language
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\BJFAC\20170424_OHQ_ALL_ROE-update2.pdf.txt","Archives coalition\alliance\BJFAC\20170424_OHQ_ALL_ROE-update2.pdf.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\BJFAC\20170425_UN_BJFAC_COALITION 17-AOD2-Alliance.pdf.txt","Archives coalition\alliance\BJFAC\20170425_UN_BJFAC_COALITION 17-AOD2-Alliance.pdf.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\BJFAC\20170426_UN_JFACC-CPD_MAOP_27AVR_coord.pdf.txt","Archives coalition\alliance\BJFAC\20170426_UN_JFACC-CPD_MAOP_27AVR_coord.pdf.txt",ca
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\04000830_SAB-index.pptx.txt","Archives coalition\alliance\COMMAND GROUP\04000830_SAB-index.pptx.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\04181500_Alliance_DB-transition.pptx.txt","Archives coalition\alliance\COMMAND GROUP\04181500_Alliance_DB-transition.pptx.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\04191100_Backbrief.pptx.txt","Archives coalition\alliance\COMMAND GROUP\04191100_Backbrief.pptx.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Back Brief - 1100L\04211100_BB_JFAC.pptx.txt","Archives coalition\alliance\COMMAND GROUP\Back Brief - 1100L\04211100_BB_JFAC.pptx.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Back Brief - 1100L\04211100_BB_LCC.pptx.txt","Archives coalition\alliance\COMMAND GROUP\Back Brief - 1100L\04211100_BB_LCC.pptx.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Back Brief - 1100L\04211100_BB_MCC.pptx.txt","Archives coalition\alliance\COMMAND GROUP\Back Brief - 1100L\04211100_BB_MCC.pptx.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Back Brief - 1100L\20170424_AC_COMAJF_JCO2-A.pdf.txt","Archives coalition\alliance\COMMAND GROUP\Back Brief - 1100L\20170424_AC_COMAJF_JCO2-A.pdf.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Back Brief - 1100L\20170424_FRAGO_01_JCO2A_J4.pdf.txt","Archives coalition\alliance\COMMAND GROUP\Back Brief - 1100L\20170424_FRAGO_01_JCO2A_J4.pdf.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Back Brief - 1100L\20170424_FRAGO_02_JCO2A_OPCON.pdf.txt","Archives coalition\alliance\COMMAND GROUP\Back Brief - 1100L\20170424_FRAGO_02_JCO2A_OPCON.pdf.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Back Brief - 1100L\20170425_FRAGO_03_JCO2A_PSYOPS.pdf.txt","Archives coalition\alliance\COMMAND GROUP\Back Brief - 1100L\20170425_FRAGO_03_JCO2A_PSYOPS.pdf.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Back Brief - 1100L\20170425_FRAGO_05_JCO2A_REFUGEES.pdf.txt","Archives coalition\alliance\COMMAND GROUP\Back Brief - 1100L\20170425_FRAGO_05_JCO2A_REFUGEES.pdf.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Back Brief - 1100L\20170426_FRAGO_04_JCO2A_ROEs.pdf.txt","Archives coalition\alliance\COMMAND GROUP\Back Brief - 1100L\20170426_FRAGO_04_JCO2A_ROEs.pdf.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Back Brief - 1100L\20170426_FRAGO_07_JCO2A_RUSSIA.pdf.txt","Archives coalition\alliance\COMMAND GROUP\Back Brief - 1100L\20170426_FRAGO_07_JCO2A_RUSSIA.pdf.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Back Brief - 1100L\20170426_FRAGO_09_JCO2A_DEFENSIVE.pdf.txt","Archives coalition\alliance\COMMAND GROUP\Back Brief - 1100L\20170426_FRAGO_09_JCO2A_DEFENSIVE.pdf.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Back Brief - 1100L\20170426_WINGO_02_J35.pdf.txt","Archives coalition\alliance\COMMAND GROUP\Back Brief - 1100L\20170426_WINGO_02_J35.pdf.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Back Brief - 1100L\20170427_FRAGO_08_JCO2A_PSYOPS_SURRENDER.pdf.txt","Archives coalition\alliance\COMMAND GROUP\Back Brief - 1100L\20170427_FRAGO_08_JCO2A_PSYOPS_SURRENDER.pdf.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Battle Rythm FHQ ALL - 22 april.xlsx.csv","Archives coalition\alliance\COMMAND GROUP\Battle Rythm FHQ ALL - 22 april.xlsx.csv",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Battle Rythm FHQ ALL - 23 april.xlsx.csv","Archives coalition\alliance\COMMAND GROUP\Battle Rythm FHQ ALL - 23 april.xlsx.csv",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\carto péninsule Sequene.docx.txt","Archives coalition\alliance\COMMAND GROUP\carto péninsule Sequene.docx.txt",NAN
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\cartoSequena.docx.txt","Archives coalition\alliance\COMMAND GROUP\cartoSequena.docx.txt",lv
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Chatroom Assignments.xlsx.csv","Archives coalition\alliance\COMMAND GROUP\Chatroom Assignments.xlsx.csv",ca
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\IKM\04230830_ALL_SAB_WIP.pptx.txt","Archives coalition\alliance\COMMAND GROUP\IKM\04230830_ALL_SAB_WIP.pptx.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\IKM\04240830_ALL_SAB_WIP.pptx.txt","Archives coalition\alliance\COMMAND GROUP\IKM\04240830_ALL_SAB_WIP.pptx.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\IKM\04250830_ALL_SAB_WIP.pptx.txt","Archives coalition\alliance\COMMAND GROUP\IKM\04250830_ALL_SAB_WIP.pptx.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\IKM\04260830_ALL_SAB_WIP.pptx.txt","Archives coalition\alliance\COMMAND GROUP\IKM\04260830_ALL_SAB_WIP.pptx.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\IKM\04270830_ALL_SAB_WIP.pptx.txt","Archives coalition\alliance\COMMAND GROUP\IKM\04270830_ALL_SAB_WIP.pptx.txt",fr
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\IKM\04280930_ALL_SAB_WIP.pptx.txt","Archives coalition\alliance\COMMAND GROUP\IKM\04280930_ALL_SAB_WIP.pptx.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\IKM\04xx0830_ALL_SAB_Template.pptx.txt","Archives coalition\alliance\COMMAND GROUP\IKM\04xx0830_ALL_SAB_Template.pptx.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\IKM\61.BatlleRythm.pptx.txt","Archives coalition\alliance\COMMAND GROUP\IKM\61.BatlleRythm.pptx.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\IKM\ALL_Info_Brief_Template.ppt.txt","Archives coalition\alliance\COMMAND GROUP\IKM\ALL_Info_Brief_Template.ppt.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\IKM\ASSESSREP\20170421 - ASSESSREP TEST - J35.docx.txt","Archives coalition\alliance\COMMAND GROUP\IKM\ASSESSREP\20170421 - ASSESSREP TEST - J35.docx.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\IKM\ASSESSREP\20170422 - ASSESSREP 001 - J35.docx.txt","Archives coalition\alliance\COMMAND GROUP\IKM\ASSESSREP\20170422 - ASSESSREP 001 - J35.docx.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\IKM\ASSESSREP\20170423 - ASSESSREP 002 - J35.docx.txt","Archives coalition\alliance\COMMAND GROUP\IKM\ASSESSREP\20170423 - ASSESSREP 002 - J35.docx.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\IKM\ASSESSREP\20170424 - ASSESSREP 003 - J35.docx.txt","Archives coalition\alliance\COMMAND GROUP\IKM\ASSESSREP\20170424 - ASSESSREP 003 - J35.docx.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\IKM\ASSESSREP\20170425 - ASSESSREP 004 - J35.docx.txt","Archives coalition\alliance\COMMAND GROUP\IKM\ASSESSREP\20170425 - ASSESSREP 004 - J35.docx.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\IKM\ASSESSREP\20170426 - ASSESSREP 005 - J35.docx.txt","Archives coalition\alliance\COMMAND GROUP\IKM\ASSESSREP\20170426 - ASSESSREP 005 - J35.docx.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\IKM\ASSESSREP\20170427 - ASSESSREP 006 - J35.docx.txt","Archives coalition\alliance\COMMAND GROUP\IKM\ASSESSREP\20170427 - ASSESSREP 006 - J35.docx.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\IKM\Injects\inject_02_04_02i-AFP.pdf.txt","Archives coalition\alliance\COMMAND GROUP\IKM\Injects\inject_02_04_02i-AFP.pdf.txt",NAN
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\IKM\Maps.pptx.txt","Archives coalition\alliance\COMMAND GROUP\IKM\Maps.pptx.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\IKM\Rqsts to OHQ.pptx.txt","Archives coalition\alliance\COMMAND GROUP\IKM\Rqsts to OHQ.pptx.txt",fr
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Orders\20170424_AC_COMAJF_JCO2-A.pdf.txt","Archives coalition\alliance\COMMAND GROUP\Orders\20170424_AC_COMAJF_JCO2-A.pdf.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Orders\20170424_FRAGO_01_JCO2A_J4.pdf.txt","Archives coalition\alliance\COMMAND GROUP\Orders\20170424_FRAGO_01_JCO2A_J4.pdf.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Orders\20170424_FRAGO_02_JCO2A_OPCON.pdf.txt","Archives coalition\alliance\COMMAND GROUP\Orders\20170424_FRAGO_02_JCO2A_OPCON.pdf.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Orders\20170425_FRAGO_03_JCO2A_PSYOPS.pdf.txt","Archives coalition\alliance\COMMAND GROUP\Orders\20170425_FRAGO_03_JCO2A_PSYOPS.pdf.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Orders\20170425_FRAGO_05_JCO2A_REFUGEES.pdf.txt","Archives coalition\alliance\COMMAND GROUP\Orders\20170425_FRAGO_05_JCO2A_REFUGEES.pdf.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Orders\20170426_FRAGO_04_JCO2A_ROEs.pdf.txt","Archives coalition\alliance\COMMAND GROUP\Orders\20170426_FRAGO_04_JCO2A_ROEs.pdf.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Orders\20170426_FRAGO_07_JCO2A_RUSSIA.pdf.txt","Archives coalition\alliance\COMMAND GROUP\Orders\20170426_FRAGO_07_JCO2A_RUSSIA.pdf.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Orders\20170426_FRAGO_09_JCO2A_DEFENSIVE.pdf.txt","Archives coalition\alliance\COMMAND GROUP\Orders\20170426_FRAGO_09_JCO2A_DEFENSIVE.pdf.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Orders\20170426_WINGO_02_J35.pdf.txt","Archives coalition\alliance\COMMAND GROUP\Orders\20170426_WINGO_02_J35.pdf.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Orders\20170427_FRAGO_08_JCO2A_PSYOPS_SURRENDER.pdf.txt","Archives coalition\alliance\COMMAND GROUP\Orders\20170427_FRAGO_08_JCO2A_PSYOPS_SURRENDER.pdf.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\PLANNING ALL POL-MIL-DIPLO-HUMA.xlsx.csv","Archives coalition\alliance\COMMAND GROUP\PLANNING ALL POL-MIL-DIPLO-HUMA.xlsx.csv",fr
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\RFI ALLIANCE.xlsx.csv","Archives coalition\alliance\COMMAND GROUP\RFI ALLIANCE.xlsx.csv",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Situation_Awareness_Brief\04210830_ALL_SAB.ppt.txt","Archives coalition\alliance\COMMAND GROUP\Situation_Awareness_Brief\04210830_ALL_SAB.ppt.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Situation_Awareness_Brief\04220830_ALL_SAB.pptx.txt","Archives coalition\alliance\COMMAND GROUP\Situation_Awareness_Brief\04220830_ALL_SAB.pptx.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Situation_Awareness_Brief\04230830_ALL_SAB.pptx.txt","Archives coalition\alliance\COMMAND GROUP\Situation_Awareness_Brief\04230830_ALL_SAB.pptx.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Situation_Awareness_Brief\04240830_ALL_SAB.pptx.txt","Archives coalition\alliance\COMMAND GROUP\Situation_Awareness_Brief\04240830_ALL_SAB.pptx.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Situation_Awareness_Brief\04250830_ALL_SAB.pptx.txt","Archives coalition\alliance\COMMAND GROUP\Situation_Awareness_Brief\04250830_ALL_SAB.pptx.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Situation_Awareness_Brief\04260830_ALL_SAB.pptx.txt","Archives coalition\alliance\COMMAND GROUP\Situation_Awareness_Brief\04260830_ALL_SAB.pptx.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\Situation_Awareness_Brief\04270830_ALL_SAB.pptx.txt","Archives coalition\alliance\COMMAND GROUP\Situation_Awareness_Brief\04270830_ALL_SAB.pptx.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\COMMAND GROUP\VisitesCOAL.xlsx.csv","Archives coalition\alliance\COMMAND GROUP\VisitesCOAL.xlsx.csv",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\Diplomates ALL\20170418_OHQ_ALL_DSP ADD1.pdf.txt","Archives coalition\alliance\Diplomates ALL\20170418_OHQ_ALL_DSP ADD1.pdf.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\Documentation JCHAT\JCHAT ALLIANCE CHATROOMS CODES.docx.txt","Archives coalition\alliance\Documentation JCHAT\JCHAT ALLIANCE CHATROOMS CODES.docx.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\Documentation JCHAT\JCHAT ALLIANCE.docx.txt","Archives coalition\alliance\Documentation JCHAT\JCHAT ALLIANCE.docx.txt",fr
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\FHQ ALL\04061530_Alliance 3_Decision brief.ppt.txt","Archives coalition\alliance\FHQ ALL\04061530_Alliance 3_Decision brief.ppt.txt",en
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\FHQ ALL\20173003_Joint_Target_List_CONFEDERATION_COALITION_2017.doc.txt","Archives coalition\alliance\FHQ ALL\20173003_Joint_Target_List_CONFEDERATION_COALITION_2017.doc.txt",fr
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\FHQ ALL\BIO fictive COMANFOR ALL 2017.pdf.txt","Archives coalition\alliance\FHQ ALL\BIO fictive COMANFOR ALL 2017.pdf.txt",fr
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\FHQ ALL\bio_gca_p_charaix_fr.pdf.txt","Archives coalition\alliance\FHQ ALL\bio_gca_p_charaix_fr.pdf.txt",fr
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\FHQ ALL\COALITION - ALLIANCE - CDER's orientation for DB.pdf.txt","Archives coalition\alliance\FHQ ALL\COALITION - ALLIANCE - CDER's orientation for DB.pdf.txt",fr
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\FHQ ALL\DOCUMENTATION FHQ\00-Coalition Memento PC OPE Sommaire.pdf.txt","Archives coalition\alliance\FHQ ALL\DOCUMENTATION FHQ\00-Coalition Memento PC OPE Sommaire.pdf.txt",fr
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\FHQ ALL\DOCUMENTATION FHQ\01-Coalition Memento PC OPE CH1.pdf.txt","Archives coalition\alliance\FHQ ALL\DOCUMENTATION FHQ\01-Coalition Memento PC OPE CH1.pdf.txt",fr
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\FHQ ALL\DOCUMENTATION FHQ\02-Coalition Memento PC OPE CH2.pdf.txt","Archives coalition\alliance\FHQ ALL\DOCUMENTATION FHQ\02-Coalition Memento PC OPE CH2.pdf.txt",fr
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\FHQ ALL\DOCUMENTATION FHQ\03-Coalition Memento PC OPE CH3.pdf.txt","Archives coalition\alliance\FHQ ALL\DOCUMENTATION FHQ\03-Coalition Memento PC OPE CH3.pdf.txt",fr
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\FHQ ALL\DOCUMENTATION FHQ\04-Coalition Memento PC OPE CH4.pdf.txt","Archives coalition\alliance\FHQ ALL\DOCUMENTATION FHQ\04-Coalition Memento PC OPE CH4.pdf.txt",fr
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\FHQ ALL\DOCUMENTATION FHQ\05-Coalition Memento PC OPE CH5.pdf.txt","Archives coalition\alliance\FHQ ALL\DOCUMENTATION FHQ\05-Coalition Memento PC OPE CH5.pdf.txt",fr
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\FHQ ALL\DOCUMENTATION FHQ\06-Coalition Memento PC OPE CH6.pdf.txt","Archives coalition\alliance\FHQ ALL\DOCUMENTATION FHQ\06-Coalition Memento PC OPE CH6.pdf.txt",fr
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\FHQ ALL\DOCUMENTATION FHQ\07-Coalition Memento PC OPE ANX1.pdf.txt","Archives coalition\alliance\FHQ ALL\DOCUMENTATION FHQ\07-Coalition Memento PC OPE ANX1.pdf.txt",fr
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\FHQ ALL\DOCUMENTATION FHQ\08-Coalition Memento PC OPE ANX2-3.pdf.txt","Archives coalition\alliance\FHQ ALL\DOCUMENTATION FHQ\08-Coalition Memento PC OPE ANX2-3.pdf.txt",fr
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\FHQ ALL\DOCUMENTATION FHQ\09-Coalition Memento PC OPE ANX4 Acronymes.pdf.txt","Archives coalition\alliance\FHQ ALL\DOCUMENTATION FHQ\09-Coalition Memento PC OPE ANX4 Acronymes.pdf.txt",fr
"C:/Users/Ambroise Prevel/Dropbox/HEC/Cours/Digital/DGA/formated_data/Archives coalition\alliance\FHQ ALL\DOCUMENTATION FHQ\iGeosit pour les nuls.pptx.txt","Archives coalition\alliance\FHQ ALL\DOCUMENTATION FHQ\iGeosit pour les nuls.pptx.txt",en
